Location,Asset Category,Asset Id,Asset Name,ccLinkNwStatus,EthernetNetworkStatus,TlCommStatus,TlStatus,ccLinkCard,ioCard,plc,preventiveAnalysis,chainElongation,abnormalVibration,PowerLine1,PowerLine2,PowerLine3,MotorVibrationXAxis,MotorVibrationZAxis,MastVibrationXAxis,MastVibrationXAxis,availableTime,machineDownTime,tlUtilization,cycleTime,voltageLine1,voltageLine2,voltageLine3,currentLine1,currentLine2,currentLine3,FrequencyLine1,FrequencyLine2,FrequencyLine3,proximityValue,temperatureValue,asset_running_status
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,515,997,1000,97,146,122,97,0,0,0,30,1506,1522,1469,0,0,0,445,444,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,515,997,1000,97,146,122,97,0,0,0,30,1506,1522,1469,0,0,0,445,444,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,515,997,1000,97,146,122,97,0,0,0,30,1506,1522,1469,0,0,0,445,444,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-977,-303,1000,97,97,122,97,0,0,0,30,1882,1836,1825,0,0,0,445,1487,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-977,-303,1000,97,97,122,97,0,0,0,30,1882,1836,1825,0,0,0,445,1487,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-977,-303,1000,97,97,122,97,0,0,0,30,1882,1836,1825,0,0,0,445,1487,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,780,-741,1000,97,97,122,97,0,0,0,30,2460,2465,2472,0,0,0,598,4043,598,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,780,-741,1000,97,97,122,97,0,0,0,30,2460,2465,2472,0,0,0,598,4043,598,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,460,664,1000,97,122,122,97,0,0,0,30,1849,1876,1882,0,0,0,445,714,445,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,460,664,1000,97,122,122,97,0,0,0,30,1849,1876,1882,0,0,0,445,714,445,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-444,-935,1000,146,122,195,122,0,0,0,30,1813,1858,1815,0,0,0,445,775,445,0,3776,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-444,-935,1000,146,122,195,122,0,0,0,30,1813,1858,1815,0,0,0,445,775,445,0,3776,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-444,-935,1000,146,122,195,122,0,0,0,30,1813,1858,1815,0,0,0,445,775,445,0,3776,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-819,994,1000,146,122,146,97,0,0,0,30,1580,1595,1561,0,0,0,445,391,445,0,3776,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-819,994,1000,146,122,146,97,0,0,0,30,1580,1595,1561,0,0,0,445,391,445,0,3776,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-819,994,1000,146,122,146,97,0,0,0,30,1580,1595,1561,0,0,0,445,391,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-33,-636,1000,97,97,146,97,0,0,0,30,1793,1844,1835,0,0,0,445,1816,445,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-33,-636,1000,97,97,146,97,0,0,0,30,1793,1844,1835,0,0,0,445,1816,445,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,256,967,1000,97,97,512,97,0,0,0,30,2442,2432,2409,0,0,0,561,3981,561,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,256,967,1000,97,97,512,97,0,0,0,30,2442,2432,2409,0,0,0,561,3981,561,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,256,967,1000,97,97,512,97,0,0,0,30,2442,2432,2409,0,0,0,561,3981,561,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-929,949,1000,97,97,512,97,0,0,0,30,1426,1400,1389,0,0,0,445,358,445,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-929,949,1000,97,97,512,97,0,0,0,30,1426,1400,1389,0,0,0,445,358,445,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-929,949,1000,97,97,512,97,0,0,0,30,1426,1400,1389,0,0,0,445,358,445,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,515,997,1000,97,146,122,97,0,0,0,30,1506,1522,1469,0,0,0,445,444,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,515,997,1000,97,146,122,97,0,0,0,30,1506,1522,1469,0,0,0,445,444,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,515,997,1000,97,146,122,97,0,0,0,30,1506,1522,1469,0,0,0,445,444,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-977,-303,1000,97,97,122,97,0,0,0,30,1882,1836,1825,0,0,0,445,1487,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-977,-303,1000,97,97,122,97,0,0,0,30,1882,1836,1825,0,0,0,445,1487,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-977,-303,1000,97,97,122,97,0,0,0,30,1882,1836,1825,0,0,0,445,1487,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,780,-741,1000,97,97,122,97,0,0,0,30,2460,2465,2472,0,0,0,598,4043,598,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,780,-741,1000,97,97,122,97,0,0,0,30,2460,2465,2472,0,0,0,598,4043,598,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,460,664,1000,97,122,122,97,0,0,0,30,1849,1876,1882,0,0,0,445,714,445,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,460,664,1000,97,122,122,97,0,0,0,30,1849,1876,1882,0,0,0,445,714,445,0,3779,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,1000,707,1000,97,97,97,292,0,0,0,30,149,149,149,0,0,0,445,0,445,0,3032,0
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-444,-935,1000,146,122,195,122,0,0,0,30,1813,1858,1815,0,0,0,445,775,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-444,-935,1000,146,122,195,122,0,0,0,30,1813,1858,1815,0,0,0,445,775,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-444,-935,1000,146,122,195,122,0,0,0,30,1813,1858,1815,0,0,0,445,775,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-819,994,1000,146,122,146,97,0,0,0,30,1580,1595,1561,0,0,0,445,391,445,0,3776,1
Manesar,Transfer_Lift,1,Transfer_Lift_1,0,0,0,1,0,0,0,0,0,0,-819,994,1000,146,122,146,97,0,0,0,30,1580,1595,1561,0,0,0,445,391,445,0,3776,1
